NAME                   FLOAT         INTEGER          ANSWER      SCI ANSWER 
Spencer Jo         81.973251          480743     39408068.00   3.940807e+07
Ski Jake           30.637968          353337     10825528.00   1.082553e+07
Matt Jake          34.163773             722        24666.24   2.466624e+04
Jake Ted           47.817768          112500      5379499.00   5.379499e+06
Hans Pritz         38.825710          401309     15581107.00   1.558111e+07
John Ski            0.663190          144667        95941.64   9.594164e+04
Dave Jake           0.620920          822252       510552.81   5.105528e+05
Spencer Te         89.532730          111627      9994270.00   9.994270e+06
Pritzl Joh         62.437893          846075     52827140.00   5.282714e+07
Spencer Pr          0.427203          753471       321885.34   3.218853e+05
Spencer Da         42.553745          850383     36186980.00   3.618698e+07
Jason Hans         85.859993          263009     22581950.00   2.258195e+07
Spencer Ja          0.404960          919472       372349.50   3.723495e+05
Ski Ski             0.256589          484345       124277.49   1.242775e+05
John Dave           0.685867          734045       503456.94   5.034569e+05
Jason Ski          83.114380          343208     28525520.00   2.852552e+07
Spencer Pr          0.801704          592689       475161.16   4.751612e+05
Ski Ski             0.772272          876707       677056.25   6.770562e+05
Spencer Sp          0.934925          487877       456128.41   4.561284e+05
Matt Spenc          0.087928          416411        36614.30   3.661430e+04
Ted Hans            0.120617           79186         9551.22   9.551217e+03
Ski Hans           25.825247          889587     22973804.00   2.297380e+07
Hans Hans          85.581146          733825     62801584.00   6.280158e+07
Dave Matt          66.391479          157525     10458318.00   1.045832e+07
Jason Ski          85.907104          347787     29877374.00   2.987737e+07
Jake Matt          54.891716           90655      4976208.50   4.976208e+06
Pritzl Jak          0.754475          322493       243312.98   2.433130e+05
Jake Megan         50.932755          600953     30608192.00   3.060819e+07
Matt Dave          98.154709          118043     11586476.00   1.158648e+07
Dave Matt          77.917351          224926     17525638.00   1.752564e+07
Hans Megan          0.977486          902481       882162.81   8.821628e+05
Megan Jaso         85.770271          270606     23209950.00   2.320995e+07
Jake Hans           0.440292          243182       107071.13   1.070711e+05
Hans Spenc         96.761963          700240     67756600.00   6.775660e+07
Ski Hans           17.444582          677891     11825525.00   1.182552e+07
Pritzl Mat          4.932555          192821       951100.12   9.511001e+05
Megan Prit         42.054642          723751     30437090.00   3.043709e+07
Spencer Ha         36.905754          726168     26799778.00   2.679978e+07
Jason John          0.560688          221823       124373.55   1.243736e+05
John Matt           0.376357          620701       233605.42   2.336054e+05
Jake Jason          0.224001          628081       140690.94   1.406909e+05
Ski Ted            12.544820          959500     12036755.00   1.203676e+07
Megan Hans          0.792623          530626       420586.25   4.205862e+05
Hans Dave           0.144488          985586       142405.52   1.424055e+05
Matt Ted            0.961483          926837       891137.56   8.911376e+05
John Megan         97.441277          629070     61297384.00   6.129738e+07
Pritzl Meg          0.836464          328790       275020.84   2.750208e+05
Jason Ted           0.434427          915669       397791.47   3.977915e+05
Jake Hans           0.679412          572913       389244.00   3.892440e+05
Ted Ski            27.082560          935561     25337386.00   2.533739e+07
