NAME                   FLOAT         INTEGER          ANSWER      SCI ANSWER 
Jake Jason          0.533820           52570        28062.94   2.806294e+04
Jake Dave          90.182617          136878     12344016.00   1.234402e+07
Ted Hans            0.791884          214802       170098.38   1.700984e+05
Ski Dave            0.767294          605810       464834.59   4.648346e+05
John Ski           35.744316           40838      1459726.38   1.459726e+06
Matt Megan          0.436360          662667       289161.19   2.891612e+05
Jason Hans          0.158055           65131        10294.27   1.029427e+04
Jason Prit         26.230886          599990     15738270.00   1.573827e+07
Megan Matt         80.099510          172594     13824695.00   1.382470e+07
Jason Matt          0.502209          166156        83445.02   8.344502e+04
Jason Jake          7.153217          126459       904588.69   9.045887e+05
Pritzl Han          0.896359          338001       302970.25   3.029702e+05
Dave Matt           0.332767          126699        42161.22   4.216122e+04
John Jake           0.251892          542627       136683.17   1.366832e+05
John John           0.023958          552892        13246.39   1.324639e+04
Ski John            8.059429          573739      4624009.00   4.624009e+06
Pritzl Spe         81.461891          168693     13742051.00   1.374205e+07
Jason Hans         79.861961          236761     18908198.00   1.890820e+07
Pritzl Mat          0.891389          167118       148967.19   1.489672e+05
John Pritz          0.440959          484075       213457.27   2.134573e+05
Spencer Te         98.839256          881493     87126112.00   8.712611e+07
Hans Jake           0.771690          415411       320568.44   3.205684e+05
Jason Matt          0.350847          699714       245492.89   2.454929e+05
John Ted            0.178709          799073       142801.19   1.428012e+05
Hans Ted            0.115317          900828       103880.54   1.038805e+05
Megan Spen          0.061889          707030        43757.49   4.375749e+04
Ted Ted             0.172739          673829       116396.55   1.163965e+05
Dave Matt           0.466844          312861       146057.16   1.460572e+05
Dave Matt          88.729424          901112     79955152.00   7.995515e+07
Ted Hans           61.269836          257013     15747144.00   1.574714e+07
Jake John          78.732040          723690     56977592.00   5.697759e+07
Pritzl Spe         66.424980          299126     19869438.00   1.986944e+07
Spencer Sp          0.841176          721606       606998.00   6.069980e+05
Hans Spenc         16.072495          531646      8544877.00   8.544877e+06
Pritzl Ted         56.984283           53250      3034413.00   3.034413e+06
Hans John          84.553192          130103     11000624.00   1.100062e+07
Jake Hans          70.821983          577858     40925048.00   4.092505e+07
John Pritz          4.787756          998723      4781642.00   4.781642e+06
John John           0.630054          471120       296831.06   2.968311e+05
Jason John          0.295461          798446       235909.39   2.359094e+05
Pritzl Meg          0.897178          201975       181207.59   1.812076e+05
Pritzl Jak          0.510919          960448       490711.22   4.907112e+05
Ski Pritzl          0.165917          775708       128703.38   1.287034e+05
Megan Spen          0.532352          517798       275650.59   2.756506e+05
Ski Spence          4.616476          510599      2357168.00   2.357168e+06
Dave Jason         41.938457          194754      8167682.50   8.167682e+06
Spencer Ja          0.273001          782805       213706.89   2.137069e+05
Matt Matt          68.889084          308432     21247598.00   2.124760e+07
Jason John          0.837827          802936       672721.12   6.727211e+05
Pritzl Jas          0.327577          921437       301841.41   3.018414e+05
