NAME                   FLOAT         INTEGER          ANSWER      SCI ANSWER 
Ted Pritzl         25.357986           39965      1013431.94   1.013432e+06
Jake Ski           63.913219          303386     19390376.00   1.939038e+07
Spencer Te         63.712532          791571     50432992.00   5.043299e+07
Dave Jake          86.024506          358842     30869206.00   3.086921e+07
Megan Jake         18.012720          238917      4303545.00   4.303545e+06
Matt Jake          92.127937           52839      4867948.00   4.867948e+06
John Jake           0.952355          521351       496511.09   4.965111e+05
Hans Ski           63.664089          531224     33819892.00   3.381989e+07
Hans John          11.009318          328302      3614381.25   3.614381e+06
Megan Ted           0.722248          347909       251276.58   2.512766e+05
Matt Ski            0.998448          478879       478135.84   4.781358e+05
Ski Pritzl          0.915511          679450       622044.19   6.220442e+05
Matt Jason          0.004259          662665         2822.08   2.822077e+03
Ski Jason          33.000637          452362     14928234.00   1.492823e+07
Ted Ski             0.967373          984410       952291.19   9.522912e+05
Jake Spenc         33.469158           47310      1583425.88   1.583426e+06
Spencer Sp         91.994331          722536     66469216.00   6.646922e+07
Pritzl Jak          0.461073          391197       180370.19   1.803702e+05
Ski Spence          0.667222          200380       133697.91   1.336979e+05
Ski Megan          77.975258          820405     63971292.00   6.397129e+07
Megan Jaso          0.560771          861382       483038.28   4.830383e+05
John Megan          0.561880          664747       373508.31   3.735083e+05
Pritzl Meg          0.045656          959694        43815.38   4.381538e+04
Ted Ted             0.481830          124057        59774.43   5.977443e+04
Pritzl Jak         17.484613          499067      8725994.00   8.725994e+06
Jason Ski           4.984918          849189      4233137.00   4.233137e+06
Hans Jake           0.604569           27357        16539.19   1.653919e+04
John John          51.781940          409391     21199060.00   2.119906e+07
Jason Mega         38.019024          940977     35775028.00   3.577503e+07
Spencer Te          5.548477          678895      3766833.00   3.766833e+06
Dave Hans           0.069723          568236        39618.89   3.961889e+04
Jake Pritz          0.903321          674646       609422.19   6.094222e+05
Jake Matt          33.647526          445897     15003331.00   1.500333e+07
John Ted           45.642338          160849      7341524.50   7.341524e+06
Jake Jake           0.254503          761933       193914.47   1.939145e+05
Dave Jake           0.662583          396784       262902.53   2.629025e+05
John Megan          0.657128          761825       500616.88   5.006169e+05
Dave Spenc          9.571810           10404        99585.11   9.958511e+04
Dave Jake           0.723118          267047       193106.62   1.931066e+05
Ski Ski             0.248805          693995       172669.22   1.726692e+05
John Jake           0.299945          649383       194779.11   1.947791e+05
Matt Jake           0.143659           73097        10501.06   1.050106e+04
Pritzl Ted         95.514778          571572     54593572.00   5.459357e+07
Pritzl Ted         13.170507          161533      2127471.50   2.127472e+06
Spencer Jo         31.847748          883332     28132134.00   2.813213e+07
Pritzl Ted          0.061890          336969        20855.09   2.085509e+04
Jason Spen          0.500699          828013       414585.50   4.145855e+05
Ted Pritzl         67.418892          920861     62083428.00   6.208343e+07
Spencer Da          0.963250          438037       421939.25   4.219392e+05
Spencer Jo          0.883759          709647       627156.69   6.271567e+05
