NAME                   FLOAT         INTEGER          ANSWER      SCI ANSWER 
John Ski            0.114069          355252        40523.41   4.052341e+04
Ski Megan          82.937202          698392     57922680.00   5.792268e+07
Hans Matt           6.308557          370103      2334816.00   2.334816e+06
Ski Matt            0.363991          964453       351052.25   3.510522e+05
Ski Jake            0.514154          721393       370907.03   3.709070e+05
Matt Matt          26.158937          339390      8878082.00   8.878082e+06
Ski Megan           0.077021          442308        34067.00   3.406700e+04
Pritzl Ski         32.803951          417608     13699192.00   1.369919e+07
John Pritz          0.632350          487171       308062.56   3.080626e+05
Jason Matt          0.321862          297267        95679.01   9.567901e+04
Hans Jake           9.796813          924268      9054881.00   9.054881e+06
Spencer Te          0.631759          334499       211322.88   2.113229e+05
Hans Dave          55.319683          740123     40943368.00   4.094337e+07
Dave Jake           0.316093          596990       188704.19   1.887042e+05
Matt Spenc          0.398172          804074       320159.62   3.201596e+05
Ski Megan           0.147382          637302        93927.06   9.392706e+04
Ted Matt            0.784602          206276       161844.52   1.618445e+05
Jake Dave           0.994129          785686       781073.12   7.810731e+05
Megan Jaso          0.683741          684835       468249.91   4.682499e+05
Megan Matt          0.376301          751587       282823.06   2.828231e+05
Ski Ted             0.355917          609825       217046.81   2.170468e+05
Pritzl Ted          0.618812          663484       410571.62   4.105716e+05
Ted Jason           2.364267          612290      1447616.88   1.447617e+06
Spencer Ja          0.606362          906408       549611.44   5.496114e+05
John Jake          36.021477          918588     33088896.00   3.308890e+07
Ski Jason           0.393620          336010       132260.11   1.322601e+05
Ted Ski             0.050300          394697        19853.35   1.985335e+04
Ski Jake           56.939156          648815     36942980.00   3.694298e+07
Jake Spenc         23.864176          841520     20082182.00   2.008218e+07
Spencer Ma         73.297440          461558     33831020.00   3.383102e+07
Dave Jake           0.939745          943302       886463.00   8.864630e+05
Dave Dave           0.033859          418398        14166.50   1.416650e+04
Hans Matt           0.733969          531551       390141.84   3.901418e+05
Pritzl Ted          0.423240          705589       298633.69   2.986337e+05
Dave Pritz          0.563797          773030       435831.81   4.358318e+05
Jason Jaso          0.238920          184160        43999.50   4.399950e+04
Hans Matt           0.180093          612771       110355.77   1.103558e+05
Ski Spence         25.193081          142025      3578047.25   3.578047e+06
Jason Hans         98.263512          983042     96597160.00   9.659716e+07
Hans Jason          0.787294          533193       419779.84   4.197798e+05
Pritzl Meg          0.750854          311264       233713.73   2.337137e+05
Pritzl Meg          0.685160          343892       235620.89   2.356209e+05
Pritzl Ski         72.616013          747720     54296444.00   5.429644e+07
Jake Dave           0.685008          649217       444718.53   4.447185e+05
Megan Dave          0.173798          278360        48378.51   4.837851e+04
Megan Prit         42.910881          216603      9294626.00   9.294626e+06
Jason Jake          0.733426          739473       542348.62   5.423486e+05
Dave Ted            0.593363          233091       138307.50   1.383075e+05
Jason Spen          0.129435          544638        70495.36   7.049536e+04
Spencer Jo         98.804977          801421     79184384.00   7.918438e+07
