NAME                   FLOAT         INTEGER          ANSWER      SCI ANSWER 
Matt Jason         15.823251          107311      1698008.88   1.698009e+06
Hans Matt          55.296059          528090     29201296.00   2.920130e+07
John Matt           0.911198          246780       224865.52   2.248655e+05
Pritzl Han         95.625557          999170     95546184.00   9.554618e+07
Ted John           36.735840          290059     10655561.00   1.065556e+07
Matt Spenc          0.774223          274074       212194.30   2.121943e+05
Spencer Ja          0.654865          343336       224838.61   2.248386e+05
Jason Prit          0.148076          202530        29989.92   2.998992e+04
Jason Prit          0.721176          607913       438412.25   4.384122e+05
Dave Jason          0.273219          549739       150199.17   1.501992e+05
John John           0.563416          976482       550165.81   5.501658e+05
John Spenc         10.945223          158998      1740268.50   1.740268e+06
Hans Ted            4.170190          509357      2124115.50   2.124116e+06
Dave Jake          35.114510          178192      6257124.50   6.257124e+06
Dave Jake          94.326706          364274     34360768.00   3.436077e+07
Ted Ted             0.126814          338248        42894.43   4.289443e+04
Ted Hans           20.211945          265897      5374295.50   5.374296e+06
Pritzl Dav         65.687340          135594      8906809.00   8.906809e+06
Dave Megan          0.098280          898208        88275.62   8.827562e+04
Ski Spence          0.145210          125913        18283.81   1.828381e+04
Jake Hans          95.352715          436352     41607348.00   4.160735e+07
John Pritz         25.721294           71112      1829092.75   1.829093e+06
Jake Ted            0.659706          659188       434870.41   4.348704e+05
Jason Ski          82.064476           35065      2877590.75   2.877591e+06
John Hans          22.889324          627391     14360556.00   1.436056e+07
Jason Mega         91.422668          263068     24050378.00   2.405038e+07
Jake John          11.807254           80570       951310.44   9.513104e+05
Jake Megan          0.078466          631777        49572.76   4.957276e+04
Jake Hans           0.383237          676187       259139.92   2.591399e+05
Jake Jake          38.137745          704064     26851414.00   2.685141e+07
Hans Pritz         12.232046          761246      9311596.00   9.311596e+06
Ski John           90.663246          268277     24322864.00   2.432286e+07
Ski Megan           0.947780          534270       506370.56   5.063706e+05
Megan Ted           0.050431          206917        10435.13   1.043513e+04
Jason Prit          8.129657          140761      1144338.62   1.144339e+06
Jake Jason         47.952244          921162     44171784.00   4.417178e+07
Ted Ted            82.874313          743781     61640340.00   6.164034e+07
Matt Megan         61.297672          211245     12948827.00   1.294883e+07
Dave Spenc         31.581570          708383     22371848.00   2.237185e+07
Matt Hans           0.662523           19685        13041.77   1.304177e+04
Pritzl Mat          0.054318          343744        18671.40   1.867140e+04
Pritzl Meg          0.903509          170900       154409.66   1.544097e+05
Matt Matt          44.962437          716937     32235234.00   3.223523e+07
Matt Spenc          3.045701          507366      1545285.12   1.545285e+06
Megan Jaso         47.063282          744805     35052968.00   3.505297e+07
Spencer Da          0.841320          861315       724641.75   7.246418e+05
Spencer Pr          0.795042          884909       703540.25   7.035402e+05
Jason Matt         56.410057           32908      1856342.12   1.856342e+06
Matt Ted            0.131428          712680        93666.32   9.366632e+04
Pritzl Dav          0.864300          488113       421875.84   4.218758e+05
